Fecha,Parametro,Valor,Unidad,Sitio
2015-10-06,pH,8.73,unidades de pH,Embalse (histórico)
2015-10-06,Coliformes totales,1600.0,,Embalse (histórico)
2015-10-06,Alcalinidad total,124.0,mg CaCO3/L,Embalse (histórico)
2015-10-06,Dureza total,130.0,mg CaCO3/L,Embalse (histórico)
2015-10-06,Conductividad,322.0,μs/cm,Embalse (histórico)
2015-11-05,pH,9.25,unidades de pH,Embalse (histórico)
2015-11-05,Dureza total,100.0,mg CaCO3/L,Embalse (histórico)
2015-11-05,Coliformes totales,16000.0,,Embalse (histórico)
2015-11-05,Alcalinidad total,92.0,mg CaCO3/L,Embalse (histórico)
2015-11-05,Conductividad,227.0,μs/cm,Embalse (histórico)
2015-11-12,Conductividad,210.0,μs/cm,Embalse (histórico)
2015-11-12,Alcalinidad total,88.0,mg CaCO3/L,Embalse (histórico)
2015-11-12,Dureza total,99.2,mg CaCO3/L,Embalse (histórico)
2015-11-12,Coliformes totales,16000.0,,Embalse (histórico)
2015-11-12,pH,9.27,unidades de pH,Embalse (histórico)
2015-11-19,Coliformes totales,1600.0,,Embalse (histórico)
2015-11-19,Alcalinidad total,84.0,mg CaCO3/L,Embalse (histórico)
2015-11-19,Conductividad,207.0,μs/cm,Embalse (histórico)
2015-11-19,pH,9.01,unidades de pH,Embalse (histórico)
2015-11-19,Dureza total,97.0,mg CaCO3/L,Embalse (histórico)
2015-12-28,Dureza total,96.0,mg CaCO3/L,Embalse (histórico)
2015-12-28,pH,8.07,unidades de pH,Embalse (histórico)
2015-12-28,Conductividad,233.0,μs/cm,Embalse (histórico)
2015-12-28,Coliformes totales,1600.0,,Embalse (histórico)
2015-12-28,Alcalinidad total,98.0,mg CaCO3/L,Embalse (histórico)
2016-01-07,pH,8.28,unidades de pH,Embalse (histórico)
2016-01-07,Coliformes totales,5400.0,,Embalse (histórico)
2016-01-07,Dureza total,106.0,mg CaCO3/L,Embalse (histórico)
2016-01-07,Conductividad,226.0,μs/cm,Embalse (histórico)
2016-01-07,Alcalinidad total,96.0,mg CaCO3/L,Embalse (histórico)
2016-02-03,pH,8.98,unidades de pH,Embalse (histórico)
2016-02-03,Coliformes totales,920.0,,Embalse (histórico)
2016-02-03,Dureza total,120.0,mg CaCO3/L,Embalse (histórico)
2016-02-03,Conductividad,231.0,μs/cm,Embalse (histórico)
2016-02-03,Alcalinidad total,116.0,mg CaCO3/L,Embalse (histórico)
2016-03-28,Coliformes totales,920.0,,Embalse (histórico)
2016-03-28,pH,8.1,unidades de pH,Embalse (histórico)
2016-03-28,Dureza total,106.0,mg CaCO3/L,Embalse (histórico)
2016-03-28,Conductividad,262.0,μs/cm,Embalse (histórico)
2016-03-28,Alcalinidad total,102.0,mg CaCO3/L,Embalse (histórico)
2016-04-13,Conductividad,254.0,μs/cm,Embalse (histórico)
2016-04-13,Alcalinidad total,100.0,mg CaCO3/L,Embalse (histórico)
2016-04-13,Coliformes totales,920.0,,Embalse (histórico)
2016-04-13,Dureza total,113.0,mg CaCO3/L,Embalse (histórico)
2016-04-13,pH,8.4,unidades de pH,Embalse (histórico)
2016-05-06,Alcalinidad total,100.0,mg CaCO3/L,Embalse (histórico)
2016-05-06,Dureza total,113.0,mg CaCO3/L,Embalse (histórico)
2016-05-06,Coliformes totales,920.0,,Embalse (histórico)
2016-05-06,Conductividad,257.0,μs/cm,Embalse (histórico)
2016-05-06,pH,7.98,unidades de pH,Embalse (histórico)
2016-06-16,Conductividad,248.0,μs/cm,Embalse (histórico)
2016-06-16,Dureza total,120.0,mg CaCO3/L,Embalse (histórico)
2016-06-16,pH,8.56,unidades de pH,Embalse (histórico)
2016-06-16,Coliformes totales,79 x 10,,Embalse (histórico)
2016-06-16,Alcalinidad total,94.0,mg CaCO3/L,Embalse (histórico)
2016-07-07,Conductividad,252.0,μs/cm,Embalse (histórico)
2016-07-07,pH,8.73,unidades de pH,Embalse (histórico)
2016-07-07,Dureza total,128.0,mg CaCO3/L,Embalse (histórico)
2016-07-07,Coliformes totales,540  x 10,,Embalse (histórico)
2016-07-07,Alcalinidad total,108.0,mg CaCO3/L,Embalse (histórico)
2016-08-03,Coliformes totales,79.0,,Embalse (histórico)
2016-08-03,Dureza total,116.0,mg CaCO3/L,Embalse (histórico)
2016-08-03,Conductividad,260.0,μs/cm,Embalse (histórico)
2016-08-03,pH,8.46,unidades de pH,Embalse (histórico)
2016-08-03,Alcalinidad total,106.0,mg CaCO3/L,Embalse (histórico)
2016-09-09,Alcalinidad total,108.0,mg CaCO3/L,Embalse (histórico)
2016-09-09,Conductividad,262.0,μs/cm,Embalse (histórico)
2016-09-09,pH,8.7,unidades de pH,Embalse (histórico)
2016-09-09,Coliformes totales,920.0,,Embalse (histórico)
2016-09-09,Dureza total,< 20,mg CaCO3/L,Embalse (histórico)
2017-03-03,Dureza total,137.0,mg CaCO3/L,Embalse (histórico)
2017-03-03,pH,8.34,unidades de pH,Embalse (histórico)
2017-03-03,Coliformes totales,240 x 10,,Embalse (histórico)
2017-03-03,Conductividad,254.0,μs/cm,Embalse (histórico)
2017-03-03,Alcalinidad total,120.0,mg CaCO3/L,Embalse (histórico)
2017-05-24,Conductividad,174.0,μs/cm,Embalse (histórico)
2017-05-24,Coliformes totales,240.0,,Embalse (histórico)
2017-05-24,Alcalinidad total,84.0,mg CaCO3/L,Embalse (histórico)
2017-05-24,pH,7.95,unidades de pH,Embalse (histórico)
2017-05-24,Dureza total,103.3,mg CaCO3/L,Embalse (histórico)
2017-11-09,Dureza total,68.0,mg CaCO3/L,Embalse (histórico)
2017-11-09,Alcalinidad total,66.6,mg CaCO3/L,Embalse (histórico)
2017-11-09,pH,7.43,unidades de pH,Embalse (histórico)
2017-11-09,Coliformes totales,790.0,,Embalse (histórico)
